n	d	lo	hi
10	-2.3	-3.43217969684936	-1.13059650649091
20	-2.3	-3.09688085802932	-1.48484182404559
40	-2.3	-2.86283612923683	-1.72809867937763
80	-2.3	-2.69804522008854	-1.89747915875168
160	-2.3	-2.58163764167835	-2.01612999133348
320	-2.3	-2.49926115521865	-2.09962952725903
640	-2.3	-2.44081210454233	-2.15830514436524
1280	-2.3	-2.39963495864046	-2.19991088028479
2560	-2.3	-2.37051768511719	-2.22925920171518
5120	-2.3	-2.34987763952077	-2.25001419383356
10	-2.25	-3.37183375904662	-1.09111061233862
20	-2.25	-3.03982003776577	-1.44200677346193
40	-2.25	-2.80792040515486	-1.68306462015201
80	-2.25	-2.64460578966039	-1.85092783883203
160	-2.25	-2.52919077793832	-1.96857530280526
320	-2.25	-2.44751320451195	-2.05133992081928
640	-2.25	-2.38961153764052	-2.109493910629
1280	-2.25	-2.34881156092539	-2.15075795726984
2560	-2.25	-2.31989715394664	-2.17990595250353
5120	-2.25	-2.29944830709524	-2.2004451480297
10	-2.2	-3.31162193286179	-1.05148484503679
20	-2.2	-2.98285752788852	-1.39907762905963
40	-2.2	-2.75307870863914	-1.63798095918257
80	-2.2	-2.59119706152483	-1.8043417073513
160	-2.2	-2.4767899217311	-1.92098884342348
320	-2.2	-2.39582925305378	-2.00302187293805
640	-2.2	-2.33841000716592	-2.06087704554156
1280	-2.2	-2.29794738673269	-2.10161477056013
2560	-2.2	-2.26929984965271	-2.13047313876688
5120	-2.2	-2.24902294826931	-2.15087345832994
10	-2.15	-3.25156217736892	-1.01173360230096
20	-2.15	-2.92598367886849	-1.35606094406407
40	-2.15	-2.69830782171451	-1.59282372367853
80	-2.15	-2.53783362822485	-1.75776118816444
160	-2.15	-2.42442525301485	-1.87338350077449
320	-2.15	-2.34415814490157	-1.95474733632598
640	-2.15	-2.2872527054972	-2.01205780900717
1280	-2.15	-2.24711066638372	-2.05246437304734
2560	-2.15	-2.21869827229709	-2.08108043411353
5120	-2.15	-2.19858467112044	-2.1012902687032
10	-2.1	-3.19164503440983	-0.971833192623677
20	-2.1	-2.86923592387808	-1.3129274706016
40	-2.1	-2.64359841834023	-1.54760313955124
80	-2.1	-2.48456132665243	-1.71107886145602
160	-2.1	-2.37210833825864	-1.82571902980045
320	-2.1	-2.29253893157225	-1.9063935481935
640	-2.1	-2.23609507742604	-1.96323760399544
1280	-2.1	-2.19630680659835	-2.00331649152355
2560	-2.1	-2.16813831003754	-2.0316624290145
5120	-2.1	-2.14816884055101	-2.05171951993593
10	-2.05	-3.13195359446583	-0.931842186283721
20	-2.05	-2.81257877398921	-1.26972314958905
40	-2.05	-2.58898899456488	-1.5022952697577
80	-2.05	-2.4312779624594	-1.66436917657544
160	-2.05	-2.31980552549871	-1.7780570171766
320	-2.05	-2.24089806095233	-1.85800265670608
640	-2.05	-2.18494097166324	-1.9143759016974
1280	-2.05	-2.1455235035324	-1.95410748911093
2560	-2.05	-2.11756136226719	-1.98223696631498
5120	-2.05	-2.09777889342666	-2.00211140182432
10	-2	-3.07233122028636	-0.891687696760818
20	-2	-2.75603773233457	-1.22640945041916
40	-2	-2.53440545941794	-1.45691610271147
80	-2	-2.3780899688755	-1.61761720147901
160	-2	-2.26752886619646	-1.73029150366292
