n1	n2	d	scpd
320	10	0.15	-0.650124381839771
320	20	0.15	-0.413479798083842
320	40	0.15	-0.254978451990695
320	80	0.15	-0.14549337608055
320	160	0.15	-0.0688757651252451
320	320	0.15	-0.0148890653103041
320	640	0.15	0.0231887629829414
320	1280	0.15	0.0501181782395534
320	2560	0.15	0.0691483482467146
320	5120	0.15	0.0826125864335955
640	10	0.15	-0.639091968769043
640	20	0.15	-0.402924707844677
640	40	0.15	-0.244653052617381
640	80	0.15	-0.135258156320975
640	160	0.15	-0.0586243169987849
640	320	0.15	-0.00470909948639933
640	640	0.15	0.033406731711425
640	1280	0.15	0.060277019541824
640	2560	0.15	0.079320034133311
640	5120	0.15	0.0928118056487287
1280	10	0.15	-0.631266105958102
1280	20	0.15	-0.395435329599352
1280	40	0.15	-0.237307430100778
1280	80	0.15	-0.127975863861878
1280	160	0.15	-0.0513963525630182
1280	320	0.15	0.00253435952763046
1280	640	0.15	0.0406255440612894
1280	1280	0.15	0.0675268216223296
1280	2560	0.15	0.0865851907140536
1280	5120	0.15	0.100026076871508
2560	10	0.15	-0.625735804877087
2560	20	0.15	-0.390169442412092
2560	40	0.15	-0.232142326060239
2560	80	0.15	-0.122854258298525
2560	160	0.15	-0.0462713817050709
2560	320	0.15	0.00762913652786885
2560	640	0.15	0.045733020216043
2560	1280	0.15	0.0726020186296195
2560	2560	0.15	0.0916412110222614
2560	5120	0.15	0.105136727092809
5120	10	0.15	-0.621862055700686
5120	20	0.15	-0.386420572449256
5120	40	0.15	-0.228465077566586
5120	80	0.15	-0.119204020988771
5120	160	0.15	-0.0426645848327404
5120	320	0.15	0.011288054444187
5120	640	0.15	0.049315014543344
5120	1280	0.15	0.0762464027797909
5120	2560	0.15	0.0952854731548765
5120	5120	0.15	0.108747818376934
10	10	0.2	-0.775538554306724
10	20	0.2	-0.533186829799877
10	40	0.2	-0.37228458431471
10	80	0.2	-0.261665041889364
10	160	0.2	-0.184480865317111
10	320	0.2	-0.130254903858468
10	640	0.2	-0.0920546067442182
10	1280	0.2	-0.0650971100129705
10	2560	0.2	-0.0460212581445446
10	5120	0.2	-0.0325473803653202
20	10	0.2	-0.710846440695357
20	20	0.2	-0.471491652437808
20	40	0.2	-0.311848529968074
20	80	0.2	-0.201829267373977
20	160	0.2	-0.124975403304621
20	320	0.2	-0.070885503068496
20	640	0.2	-0.0327643842765555
20	1280	0.2	-0.00581688912818871
20	2560	0.2	0.0132185789632495
20	5120	0.2	0.0266955302530651
40	10	0.2	-0.665736965113335
40	20	0.2	-0.428405301747146
40	40	0.2	-0.269643532826873
40	80	0.2	-0.160049817958841
40	160	0.2	-0.0833260385726692
40	320	0.2	-0.0293145090563606
40	640	0.2	0.00876073586869911
40	1280	0.2	0.0357039585027714
40	2560	0.2	0.0547357927403846
40	5120	0.2	0.0682013597756378
80	10	0.2	-0.634122997830952
80	20	0.2	-0.398169606867713
80	40	0.2	-0.239989285520155
80	80	0.2	-0.130634770884646
80	160	0.2	-0.0540256081831266
80	320	0.2	-0.000110488463988714
80	640	0.2	0.0379788500370342
80	1280	0.2	0.0648962104476501
80	2560	0.2	0.0839355928829816
80	5120	0.2	0.0973824020801437
160	10	0.2	-0.611880637030985
160	20	0.2	-0.376867913109341
160	40	0.2	-0.219094449944196
160	80	0.2	-0.109910655506958
160	160	0.2	-0.0334063891863605
160	320	0.2	0.020514283541486
160	640	0.2	0.058579224494302
160	1280	0.2	0.0854981081376952
160	2560	0.2	0.104512959319793
160	5120	0.2	0.118002819850776
320	10	0.2	-0.596220585600473
320	20	0.2	-0.361872937296292
320	40	0.2	-0.204385900805142
320	80	0.2	-0.0953214265911183
320	160	0.2	-0.0188689531251544
320	320	0.2	0.0350262140740527
320	640	0.2	0.0730675383825136
320	1280	0.2	0.100021407017503
320	2560	0.2	0.119057100806051
320	5120	0.2	0.132499334492726
640	10	0.2	-0.585224462084713
640	20	0.2	-0.351304342718947
640	40	0.2	-0.194007517572161
640	80	0.2	-0.0849965395975684
640	160	0.2	-0.00861339622711207
640	320	0.2	0.0452439810995838
640	640	0.2	0.0833161436327784
640	1280	0.2	0.110255566896864
640	2560	0.2	0.129291551276506
640	5120	0.2	0.142751410473977
1280	10	0.2	-0.577409103700824
1280	20	0.2	-0.343837808629715
1280	40	0.2	-0.186660398973229
1280	80	0.2	-0.0777448453287587
1280	160	0.2	-0.00136364252996791
1280	320	0.2	0.052492099654734
1280	640	0.2	0.090586265856783
1280	1280	0.2	0.117494822084241
1280	2560	0.2	0.136557317232566
1280	5120	0.2	0.1499831617642
2560	10	0.2	-0.571934689350581
2560	20	0.2	-0.33858712123364
2560	40	0.2	-0.18150456331432
2560	80	0.2	-0.0726301354547521
2560	160	0.2	0.00373682969716825
2560	320	0.2	0.0576278752937801
2560	640	0.2	0.0956784877740566
2560	1280	0.2	0.122579252333148
2560	2560	0.2	0.141608667538737
2560	5120	0.2	0.155094362527034
5120	10	0.2	-0.568037994822586
5120	20	0.2	-0.334854174302176
5120	40	0.2	-0.177832767460327
5120	80	0.2	-0.0689585357929798
5120	160	0.2	0.00736978901300427
5120	320	0.2	0.0612270941071963
