n1	n2	d1	d2	sig1	sig2	sdir	sigm	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	big2
160	80	0.5	0	0.494845360824742	0.0206185567010309	0.494845360824742	0.484536082474227	0.103092783505155	0.0618556701030928	0.45360824742268	0.154639175257732	0.175257731958763	0.484536082474227	0.0206185567010309
320	80	0.5	0	0.5	0.02	0.5	0.5	0.1	0.02	0.34	0.13	0.13	0.5	0.02
20	160	0.5	0	0.461538461538462	0.0256410256410256	0.461538461538462	0.128205128205128	0.0256410256410256	0.179487179487179	0.384615384615385	0.205128205128205	0.230769230769231	0.461538461538462	0.0256410256410256
40	160	0.5	0	0.431818181818182	0	0.431818181818182	0.159090909090909	0	0.0454545454545455	0.340909090909091	0.136363636363636	0.181818181818182	0.431818181818182	0
80	160	0.5	0	0.454545454545455	0.0113636363636364	0.454545454545455	0.352272727272727	0.0340909090909091	0.113636363636364	0.306818181818182	0.170454545454545	0.170454545454545	0.431818181818182	0.0113636363636364
160	160	0.5	0	0.463917525773196	0.0103092783505155	0.463917525773196	0.463917525773196	0.0309278350515464	0.0309278350515464	0.278350515463918	0.103092783505155	0.11340206185567	0.45360824742268	0.0103092783505155
320	160	0.5	0	0.46	0.01	0.46	0.46	0.02	0.02	0.12	0.03	0.03	0.42	0.01
20	320	0.5	0	0.58974358974359	0.0256410256410256	0.58974358974359	0.0512820512820513	0.0256410256410256	0.0769230769230769	0.358974358974359	0.0769230769230769	0.0769230769230769	0.58974358974359	0.0256410256410256
40	320	0.5	0	0.409090909090909	0.0227272727272727	0.409090909090909	0.0909090909090909	0.0227272727272727	0.113636363636364	0.204545454545455	0.113636363636364	0.113636363636364	0.409090909090909	0.0227272727272727
80	320	0.5	0	0.477272727272727	0.0340909090909091	0.477272727272727	0.25	0.0340909090909091	0.0795454545454545	0.25	0.113636363636364	0.113636363636364	0.454545454545455	0.0340909090909091
160	320	0.5	0	0.474226804123711	0.0412371134020619	0.474226804123711	0.463917525773196	0.0412371134020619	0.0412371134020619	0.0927835051546392	0.0412371134020619	0.0412371134020619	0.360824742268041	0.0412371134020619
320	320	0.5	0	0.46	0.04	0.46	0.46	0.04	0.04	0.09	0.04	0.04	0.21	0.04
