n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	big2
80	20	0.5	0	0.505656108597285	0.0180995475113122	0.5	0.505656108597285	0.473981900452489	0.237556561085973	0.505656108597285	0.48868778280543	0.495475113122172	0.505656108597285	0.0531674208144796
160	20	0.5	0	0.510552763819095	0.0190954773869347	0.510552763819095	0.510552763819095	0.496482412060302	0.176884422110553	0.510552763819095	0.500502512562814	0.507537688442211	0.510552763819095	0.057286432160804
320	20	0.5	0	0.509	0.019	0.509	0.509	0.502	0.101	0.509	0.504	0.507	0.509	0.055
20	40	0.5	0	0.519886363636364	0.03125	0.267045454545455	0.519886363636364	0.0767045454545455	0.238636363636364	0.491477272727273	0.329545454545455	0.372159090909091	0.517045454545455	0
40	40	0.5	0	0.508744038155803	0.0222575516693164	0.434022257551669	0.508744038155803	0.213036565977742	0.227344992050874	0.492845786963434	0.3879173290938	0.400635930047695	0.508744038155803	0.00635930047694754
80	40	0.5	0	0.528280542986425	0.0237556561085973	0.513574660633484	0.528280542986425	0.345022624434389	0.213800904977376	0.518099547511312	0.443438914027149	0.452488687782805	0.528280542986425	0.0180995475113122
160	40	0.5	0	0.527638190954774	0.0221105527638191	0.527638190954774	0.527638190954774	0.397989949748744	0.14070351758794	0.521608040201005	0.447236180904523	0.452261306532663	0.527638190954774	0.0261306532663317
320	40	0.5	0	0.528	0.022	0.528	0.528	0.391	0.069	0.516	0.416	0.421	0.528	0.024
20	80	0.5	0	0.576704545454545	0.03125	0.167613636363636	0.576704545454545	0	0.215909090909091	0.502840909090909	0.289772727272727	0.323863636363636	0.573863636363636	0
40	80	0.5	0	0.51033386327504	0.0333863275039746	0.319554848966614	0.51033386327504	0.0476947535771065	0.186009538950715	0.465818759936407	0.29570747217806	0.310015898251192	0.51033386327504	0.00158982511923688
80	80	0.5	0	0.515837104072398	0.0226244343891403	0.473981900452489	0.515837104072398	0.149321266968326	0.157239819004525	0.459276018099547	0.299773755656109	0.307692307692308	0.513574660633484	0.00339366515837104
160	80	0.5	0	0.517587939698492	0.0241206030150754	0.516582914572864	0.517587939698492	0.164824120603015	0.0673366834170854	0.452261306532663	0.265326633165829	0.269346733668342	0.516582914572864	0.00100502512562814
320	80	0.5	0	0.518	0.025	0.518	0.518	0.148	0.033	0.391	0.197	0.199	0.518	0.005
20	160	0.5	0	0.505681818181818	0.0170454545454545	0.0994318181818182	0.505681818181818	0	0.122159090909091	0.340909090909091	0.122159090909091	0.150568181818182	0.5	0
40	160	0.5	0	0.478537360890302	0.0222575516693164	0.211446740858506	0.478537360890302	0	0.120826709062003	0.384737678855326	0.16852146263911	0.181240063593005	0.476947535771065	0
80	160	0.5	0	0.469457013574661	0.0203619909502262	0.384615384615385	0.469457013574661	0.0237556561085973	0.083710407239819	0.334841628959276	0.159502262443439	0.165158371040724	0.457013574660633	0
160	160	0.5	0	0.482412060301508	0.0231155778894472	0.479396984924623	0.482412060301508	0.0321608040201005	0.0321608040201005	0.299497487437186	0.106532663316583	0.11356783919598	0.462311557788945	0
320	160	0.5	0	0.483	0.023	0.483	0.483	0.018	0.006	0.198	0.052	0.055	0.434	0
20	320	0.5	0	0.497159090909091	0.0170454545454545	0.0738636363636364	0.497159090909091	0	0.102272727272727	0.292613636363636	0.0909090909090909	0.119318181818182	0.494318181818182	0
40	320	0.5	0	0.483306836248013	0.0206677265500795	0.127186009538951	0.483306836248013	0	0.0969793322734499	0.267090620031797	0.112877583465819	0.120826709062003	0.473767885532591	0
80	320	0.5	0	0.505656108597285	0.0203619909502262	0.299773755656109	0.505656108597285	0.00226244343891403	0.0633484162895928	0.254524886877828	0.0916289592760181	0.0961538461538462	0.468325791855204	0
160	320	0.5	0	0.494472361809045	0.0190954773869347	0.474371859296482	0.494472361809045	0.00301507537688442	0.014070351758794	0.150753768844221	0.04321608040201	0.0442211055276382	0.389949748743719	0
320	320	0.5	0	0.494	0.019	0.494	0.494	0.003	0.003	0.046	0.009	0.009	0.249	0
20	20	0.8	0	0.507183908045977	0.021551724137931	0.40948275862069	0.507183908045977	0.169540229885057	0.195402298850575	0.489942528735632	0.357758620689655	0.386494252873563	0.507183908045977	0.0028735632183908
40	20	0.8	0	0.508510638297872	0.0180851063829787	0.502127659574468	0.508510638297872	0.263829787234043	0.138297872340426	0.496808510638298	0.374468085106383	0.387234042553191	0.508510638297872	0.00638297872340425
80	20	0.8	0	0.509	0.019	0.508	0.509	0.293	0.074	0.479	0.354	0.377	0.509	0.008
160	20	0.8	0	0.509	0.019	0.509	0.509	0.289	0.041	0.48	0.328	0.347	0.509	0.01
