n1	n2	d1	d2	sig1	sig2	sdir
50	150	0.3	0	0.3215	0.0270606531881804	0.4944
100	150	0.3	0	0.5686	0.0279634189236722	0.4945
150	150	0.3	0	0.7384	0.0270855904658722	0.4957
200	150	0.3	0	0.8523	0.0262818256482459	0.496
250	150	0.3	0	0.9167	0.0266172139194938	0.496
300	150	0.3	0	0.9565	0.025823314166231	0.4959
350	150	0.3	0	0.9758	0.0260299241647879	0.4959
400	150	0.3	0	0.9885	0.0259989883662114	0.4959
450	150	0.3	0	0.9935	0.0264720684448918	0.4959
500	150	0.3	0	0.9963	0.0262973000100371	0.496
20	200	0.3	0	0.1514	0.0224570673712021	0.4992
50	200	0.3	0	0.3215	0.0276827371695179	0.4989
100	200	0.3	0	0.5686	0.0265564544495251	0.5026
150	200	0.3	0	0.7384	0.0245124593716143	0.5038
200	200	0.3	0	0.8523	0.0267511439633932	0.5043
250	200	0.3	0	0.9167	0.0277080833424239	0.5043
300	200	0.3	0	0.9565	0.0269733403031887	0.504
350	200	0.3	0	0.9758	0.0267472842795655	0.504
400	200	0.3	0	0.9885	0.0275164390490642	0.504
450	200	0.3	0	0.9935	0.0269753397081027	0.504
500	200	0.3	0	0.9963	0.0273010137508783	0.5041
20	250	0.3	0	0.1514	0.0244385733157199	0.5051
50	250	0.3	0	0.3215	0.0261275272161742	0.4964
100	250	0.3	0	0.5686	0.0239183960604995	0.4937
150	250	0.3	0	0.7384	0.0257313109425785	0.4941
200	250	0.3	0	0.8523	0.0241698932300833	0.4944
250	250	0.3	0	0.9167	0.0242173011890477	0.4932
300	250	0.3	0	0.9565	0.0247778358599059	0.4937
350	250	0.3	0	0.9758	0.0237753638040582	0.4937
400	250	0.3	0	0.9885	0.0242792109256449	0.4937
450	250	0.3	0	0.9935	0.024257674886764	0.4937
500	250	0.3	0	0.9963	0.0241895011542708	0.4936
20	300	0.3	0	0.1514	0.0257595772787318	0.5057
50	300	0.3	0	0.3215	0.0245723172628305	0.5052
100	300	0.3	0	0.5686	0.0258529722124516	0.5045
150	300	0.3	0	0.7384	0.0276273022751896	0.5057
200	300	0.3	0	0.8523	0.024991200281591	0.504
250	300	0.3	0	0.9167	0.0253081706119777	0.5048
300	300	0.3	0	0.9565	0.025823314166231	0.5047
350	300	0.3	0	0.9758	0.0256200040992007	0.5047
400	300	0.3	0	0.9885	0.0254931714719272	0.5047
450	300	0.3	0	0.9935	0.0251635631605435	0.5047
500	300	0.3	0	0.9963	0.0254943290173642	0.5048
20	350	0.3	0	0.1514	0.0277410832232497	0.5031
50	350	0.3	0	0.3215	0.0273716951788491	0.496
100	350	0.3	0	0.5686	0.0230390432641576	0.4995
150	350	0.3	0	0.7384	0.0250541711809317	0.4991
200	350	0.3	0	0.8523	0.0245218819664437	0.4994
250	350	0.3	0	0.9167	0.0241082142467547	0.4996
300	350	0.3	0	0.9565	0.0245687401986409	0.4997
350	350	0.3	0	0.9758	0.0254150440664071	0.4997
400	350	0.3	0	0.9885	0.0250885179564997	0.4997
450	350	0.3	0	0.9935	0.0253648716658279	0.4997
500	350	0.3	0	0.9963	0.0250928435210278	0.4998
20	400	0.3	0	0.1514	0.0264200792602378	0.4971
50	400	0.3	0	0.3215	0.0270606531881804	0.4976
100	400	0.3	0	0.5686	0.0255012310939149	0.5007
150	400	0.3	0	0.7384	0.0238353196099675	0.5019
200	400	0.3	0	0.8523	0.0266338143846064	0.5016
250	400	0.3	0	0.9167	0.0254172575542708	0.5016
300	400	0.3	0	0.9565	0.0253005750130685	0.5013
350	400	0.3	0	0.9758	0.0248001639680262	0.5013
400	400	0.3	0	0.9885	0.0256954982296409	0.5013
450	400	0.3	0	0.9935	0.0256668344237544	0.5013
500	400	0.3	0	0.9963	0.0255947003914484	0.5012
20	450	0.3	0	0.1514	0.0250990752972259	0.5026
50	450	0.3	0	0.3215	0.0242612752721617	0.5019
100	450	0.3	0	0.5686	0.0240942666197679	0.5012
150	450	0.3	0	0.7384	0.0219393282773564	0.5016
200	450	0.3	0	0.8523	0.0246392115452306	0.5011
250	450	0.3	0	0.9167	0.0233446056507036	0.5013
300	450	0.3	0	0.9565	0.0237323575535808	0.5014
350	450	0.3	0	0.9758	0.0232629637220742	0.5014
400	450	0.3	0	0.9885	0.0234699038947901	0.5014
450	450	0.3	0	0.9935	0.0234524408656266	0.5014
500	450	0.3	0	0.9963	0.0236876442838502	0.5013
20	500	0.3	0	0.1514	0.0250990752972259	0.5041
50	500	0.3	0	0.3215	0.023950233281493	0.4996
100	500	0.3	0	0.5686	0.0279634189236722	0.5017
150	500	0.3	0	0.7384	0.0239707475622969	0.5023
200	500	0.3	0	0.8523	0.0240525636512965	0.5016
250	500	0.3	0	0.9167	0.0246536489582197	0.5022
300	500	0.3	0	0.9565	0.0240460010454783	0.5019
350	500	0.3	0	0.9758	0.0240828038532486	0.5019
400	500	0.3	0	0.9885	0.0238745574102175	0.5019
450	500	0.3	0	0.9935	0.0241570206341218	0.5019
500	500	0.3	0	0.9963	0.0241895011542708	0.5018
20	20	0.4	0	0.2347	0.0191734128674904	0.5046
50	20	0.4	0	0.5057	0.0263001779711291	0.5071
100	20	0.4	0	0.8164	0.0258451739343459	0.508
150	20	0.4	0	0.9344	0.0250428082191781	0.5075
200	20	0.4	0	0.979	0.024923391215526	0.5077
250	20	0.4	0	0.9928	0.0248791297340854	0.5076
300	20	0.4	0	0.9977	0.0251578630850957	0.5077
350	20	0.4	0	0.9996	0.025110044017607	0.5077
