n1	n2	d1	d2	sig1	sig2	sdir	sigm	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	d2.scp1	big2
160	20	0.5	0.2	1	1	1	1	0.989247311827957	0.365591397849462	1	0.989247311827957	0.989247311827957	1	1	0.978494623655914
320	20	0.5	0.2	1	1	1	1	0.989247311827957	0.139784946236559	1	1	0.989247311827957	1	1	1
20	40	0.5	0.2	1	1	1	1	0.769230769230769	0.897435897435897	0.974358974358974	0.923076923076923	0.923076923076923	1	1	0.0512820512820513
40	40	0.5	0.2	1	1	1	1	0.971014492753623	0.971014492753623	1	1	1	1	1	0.36231884057971
80	40	0.5	0.2	1	1	1	1	1	0.964601769911504	1	1	1	1	1	0.592920353982301
160	40	0.5	0.2	1	1	1	1	0.991935483870968	0.782258064516129	1	0.991935483870968	0.991935483870968	1	1	0.701612903225806
320	40	0.5	0.2	1	1	1	1	1	0.752	1	1	1	1	1	0.736
20	80	0.5	0.2	1	1	1	1	0.25	0.858695652173913	1	0.880434782608696	0.902173913043478	1	1	0
40	80	0.5	0.2	1	1	1	1	0.671140939597315	0.859060402684564	0.986577181208054	0.926174496644295	0.932885906040268	1	1	0.0469798657718121
80	80	0.5	0.2	1	1	1	1	0.871681415929204	0.871681415929204	1	0.955752212389381	0.960176991150443	1	1	0.18141592920354
160	80	0.5	0.2	1	1	1	1	0.963855421686747	0.875502008032129	1	0.995983935742972	0.995983935742972	1	1	0.200803212851406
320	80	0.5	0.2	1	1	1	1	0.987951807228916	0.730923694779116	1	0.991967871485944	0.991967871485944	1	1	0.196787148594378
20	160	0.5	0.2	1	1	1	1	0.0229885057471264	0.695402298850575	0.942528735632184	0.701149425287356	0.775862068965517	1	0.385057471264368	0
40	160	0.5	0.2	1	1	1	1	0.220216606498195	0.725631768953069	0.971119133574007	0.794223826714801	0.823104693140794	1	1	0
80	160	0.5	0.2	1	1	1	1	0.488943488943489	0.717444717444717	0.963144963144963	0.852579852579853	0.85995085995086	0.997542997542998	1	0.0368550368550369
160	160	0.5	0.2	1	1	1	1	0.573660714285714	0.587053571428571	0.988839285714286	0.819196428571429	0.830357142857143	1	1	0.0625
320	160	0.5	0.2	1	1	1	1	0.587973273942094	0.329621380846325	0.962138084632517	0.77728285077951	0.78173719376392	1	1	0.0400890868596882
20	320	0.5	0.2	1	1	1	1	0	0.618677042801556	0.840466926070039	0.607003891050584	0.64591439688716	0.996108949416342	0.0194552529182879	0
40	320	0.5	0.2	1	1	1	1	0.0184757505773672	0.621247113163972	0.882217090069284	0.658198614318707	0.678983833718245	0.993071593533487	0.625866050808314	0
80	320	0.5	0.2	1	1	1	1	0.151219512195122	0.538211382113821	0.876422764227642	0.626016260162602	0.642276422764228	0.990243902439024	1	0.00813008130081301
160	320	0.5	0.2	1	1	1	1	0.209235209235209	0.375180375180375	0.821067821067821	0.510822510822511	0.522366522366522	0.991341991341991	1	0.0144300144300144
320	320	0.5	0.2	1	1	1	1	0.139167862266858	0.144906743185079	0.66857962697274	0.341463414634146	0.351506456241033	0.971305595408895	1	0.00143472022955524
20	20	0.8	0.2	1	1	1	1	0.865671641791045	0.940298507462687	1	0.985074626865672	1	1	1	0.223880597014925
40	20	0.8	0.2	1	1	1	1	1	0.977011494252874	1	1	1	1	1	0.448275862068966
80	20	0.8	0.2	1	1	1	1	1	0.935483870967742	1	1	1	1	1	0.483870967741935
160	20	0.8	0.2	1	1	1	1	1	0.78494623655914	1	1	1	1	1	0.419354838709677
320	20	0.8	0.2	1	1	1	1	1	0.763440860215054	1	1	1	1	1	0.473118279569892
20	40	0.8	0.2	1	1	1	1	0.642857142857143	0.916666666666667	0.988095238095238	0.94047619047619	0.964285714285714	1	1	0.0238095238095238
40	40	0.8	0.2	1	1	1	1	0.868852459016393	0.89344262295082	0.991803278688525	0.983606557377049	0.983606557377049	1	1	0.163934426229508
80	40	0.8	0.2	1	1	1	1	0.872	0.728	1	0.96	0.968	1	1	0.056
160	40	0.8	0.2	1	1	1	1	0.944	0.432	1	0.984	0.992	1	1	0.064
320	40	0.8	0.2	1	1	1	1	0.976	0.296	1	0.984	0.992	1	1	0.024
