n1	n2	d1	d2	type	m	sig1	sig2	sdir
300	250	0	0	sig2	10000	496	489	5076
300	250	0	0	big2	496	496	22	245
300	250	0	0	s2or	245	245	10	245
350	250	0	0	raw	10000	504	489	5008
350	250	0	0	sig1	504	504	27	245
350	250	0	0	bsln	245	245	14	245
350	250	0	0	sig2	10000	504	489	5008
350	250	0	0	big2	504	504	27	245
350	250	0	0	s2or	245	245	14	245
400	250	0	0	raw	10000	494	489	5054
400	250	0	0	sig1	494	494	19	244
400	250	0	0	bsln	244	244	7	244
400	250	0	0	sig2	10000	494	489	5054
400	250	0	0	big2	494	494	19	244
400	250	0	0	s2or	244	244	7	244
450	250	0	0	raw	10000	489	489	4887
450	250	0	0	sig1	489	489	21	233
450	250	0	0	bsln	233	233	12	233
450	250	0	0	sig2	10000	489	489	4887
450	250	0	0	big2	489	489	21	233
450	250	0	0	s2or	233	233	12	233
500	250	0	0	raw	10000	511	489	5024
500	250	0	0	sig1	511	511	23	260
500	250	0	0	bsln	260	260	12	260
500	250	0	0	sig2	10000	511	489	5024
500	250	0	0	big2	511	511	23	260
500	250	0	0	s2or	260	260	12	260
20	300	0	0	raw	10000	491	496	4898
20	300	0	0	sig1	491	491	27	249
20	300	0	0	bsln	249	249	13	249
20	300	0	0	sig2	10000	491	496	4898
20	300	0	0	big2	491	491	27	249
20	300	0	0	s2or	249	249	13	249
50	300	0	0	raw	10000	498	496	4973
50	300	0	0	sig1	498	498	29	235
50	300	0	0	bsln	235	235	14	235
50	300	0	0	sig2	10000	498	496	4973
50	300	0	0	big2	498	498	29	235
50	300	0	0	s2or	235	235	14	235
100	300	0	0	raw	10000	501	496	4968
100	300	0	0	sig1	501	501	23	238
100	300	0	0	bsln	238	238	9	238
100	300	0	0	sig2	10000	501	496	4968
100	300	0	0	big2	501	501	23	238
100	300	0	0	s2or	238	238	9	238
150	300	0	0	raw	10000	506	496	4946
150	300	0	0	sig1	506	506	31	243
150	300	0	0	bsln	243	243	13	243
150	300	0	0	sig2	10000	506	496	4946
150	300	0	0	big2	506	506	31	243
150	300	0	0	s2or	243	243	13	243
200	300	0	0	raw	10000	517	496	4949
200	300	0	0	sig1	517	517	30	250
200	300	0	0	bsln	250	250	16	250
200	300	0	0	sig2	10000	517	496	4949
200	300	0	0	big2	517	517	30	250
200	300	0	0	s2or	250	250	16	250
250	300	0	0	raw	10000	489	496	5028
250	300	0	0	sig1	489	489	24	248
250	300	0	0	bsln	248	248	13	248
250	300	0	0	sig2	10000	489	496	5028
250	300	0	0	big2	489	489	24	248
250	300	0	0	s2or	248	248	13	248
300	300	0	0	raw	10000	496	496	4992
300	300	0	0	sig1	496	496	20	236
300	300	0	0	bsln	236	236	12	236
300	300	0	0	sig2	10000	496	496	4992
300	300	0	0	big2	496	496	20	236
300	300	0	0	s2or	236	236	12	236
350	300	0	0	raw	10000	504	496	5070
350	300	0	0	sig1	504	504	23	258
350	300	0	0	bsln	258	258	9	258
350	300	0	0	sig2	10000	504	496	5070
350	300	0	0	big2	504	504	23	258
350	300	0	0	s2or	258	258	9	258
400	300	0	0	raw	10000	494	496	4842
400	300	0	0	sig1	494	494	29	232
400	300	0	0	bsln	232	232	21	232
400	300	0	0	sig2	10000	494	496	4842
400	300	0	0	big2	494	494	29	232
400	300	0	0	s2or	232	232	21	232
450	300	0	0	raw	10000	489	496	5005
450	300	0	0	sig1	489	489	26	236
450	300	0	0	bsln	236	236	12	236
450	300	0	0	sig2	10000	489	496	5005
450	300	0	0	big2	489	489	26	236
450	300	0	0	s2or	236	236	12	236
500	300	0	0	raw	10000	511	496	5038
500	300	0	0	sig1	511	511	22	274
500	300	0	0	bsln	274	274	11	274
500	300	0	0	sig2	10000	511	496	5038
500	300	0	0	big2	511	511	22	274
500	300	0	0	s2or	274	274	11	274
20	350	0	0	raw	10000	491	504	4950
20	350	0	0	sig1	491	491	29	241
20	350	0	0	bsln	241	241	13	241
20	350	0	0	sig2	10000	491	504	4950
20	350	0	0	big2	491	491	29	241
20	350	0	0	s2or	241	241	13	241
50	350	0	0	raw	10000	498	504	4851
50	350	0	0	sig1	498	498	23	213
50	350	0	0	bsln	213	213	12	213
50	350	0	0	sig2	10000	498	504	4851
50	350	0	0	big2	498	498	23	213
50	350	0	0	s2or	213	213	12	213
100	350	0	0	raw	10000	501	504	4984
100	350	0	0	sig1	501	501	29	241
100	350	0	0	bsln	241	241	12	241
100	350	0	0	sig2	10000	501	504	4984
100	350	0	0	big2	501	501	29	241
100	350	0	0	s2or	241	241	12	241
150	350	0	0	raw	10000	506	504	4856
150	350	0	0	sig1	506	506	28	235
150	350	0	0	bsln	235	235	15	235
150	350	0	0	sig2	10000	506	504	4856
150	350	0	0	big2	506	506	28	235
150	350	0	0	s2or	235	235	15	235
200	350	0	0	raw	10000	517	504	4977
200	350	0	0	sig1	517	517	23	263
200	350	0	0	bsln	263	263	13	263
200	350	0	0	sig2	10000	517	504	4977
200	350	0	0	big2	517	517	23	263
200	350	0	0	s2or	263	263	13	263
250	350	0	0	raw	10000	489	504	4966
250	350	0	0	sig1	489	489	23	238
250	350	0	0	bsln	238	238	8	238
250	350	0	0	sig2	10000	489	504	4966
250	350	0	0	big2	489	489	23	238
250	350	0	0	s2or	238	238	8	238
300	350	0	0	raw	10000	496	504	4988
300	350	0	0	sig1	496	496	21	241
300	350	0	0	bsln	241	241	7	241
300	350	0	0	sig2	10000	496	504	4988
300	350	0	0	big2	496	496	21	241
300	350	0	0	s2or	241	241	7	241
350	350	0	0	raw	10000	504	504	5008
350	350	0	0	sig1	504	504	29	266
350	350	0	0	bsln	266	266	16	266
350	350	0	0	sig2	10000	504	504	5008
350	350	0	0	big2	504	504	29	266
350	350	0	0	s2or	266	266	16	266
400	350	0	0	raw	10000	494	504	5034
400	350	0	0	sig1	494	494	26	244
400	350	0	0	bsln	244	244	15	244
400	350	0	0	sig2	10000	494	504	5034
400	350	0	0	big2	494	494	26	244
400	350	0	0	s2or	244	244	15	244
450	350	0	0	raw	10000	489	504	5005
450	350	0	0	sig1	489	489	32	250
450	350	0	0	bsln	250	250	15	250
450	350	0	0	sig2	10000	489	504	5005
450	350	0	0	big2	489	489	32	250
450	350	0	0	s2or	250	250	15	250
500	350	0	0	raw	10000	511	504	4928
500	350	0	0	sig1	511	511	21	249
500	350	0	0	bsln	249	249	12	249
500	350	0	0	sig2	10000	511	504	4928
500	350	0	0	big2	511	511	21	249
500	350	0	0	s2or	249	249	12	249
20	400	0	0	raw	10000	491	494	5042
20	400	0	0	sig1	491	491	29	248
20	400	0	0	bsln	248	248	18	248
20	400	0	0	sig2	10000	491	494	5042
20	400	0	0	big2	491	491	29	248
20	400	0	0	s2or	248	248	18	248
50	400	0	0	raw	10000	498	494	5037
50	400	0	0	sig1	498	498	25	251
50	400	0	0	bsln	251	251	16	251
50	400	0	0	sig2	10000	498	494	5037
50	400	0	0	big2	498	498	25	251
50	400	0	0	s2or	251	251	16	251
100	400	0	0	raw	10000	501	494	5020
100	400	0	0	sig1	501	501	27	247
100	400	0	0	bsln	247	247	14	247
100	400	0	0	sig2	10000	501	494	5020
100	400	0	0	big2	501	501	27	247
100	400	0	0	s2or	247	247	14	247
150	400	0	0	raw	10000	506	494	5020
150	400	0	0	sig1	506	506	28	252
150	400	0	0	bsln	252	252	18	252
150	400	0	0	sig2	10000	506	494	5020
150	400	0	0	big2	506	506	28	252
150	400	0	0	s2or	252	252	18	252
200	400	0	0	raw	10000	517	494	4977
200	400	0	0	sig1	517	517	32	267
200	400	0	0	bsln	267	267	17	267
200	400	0	0	sig2	10000	517	494	4977
200	400	0	0	big2	517	517	32	267
200	400	0	0	s2or	267	267	17	267
250	400	0	0	raw	10000	489	494	5074
250	400	0	0	sig1	489	489	18	247
250	400	0	0	bsln	247	247	7	247
250	400	0	0	sig2	10000	489	494	5074
250	400	0	0	big2	489	489	18	247
250	400	0	0	s2or	247	247	7	247
300	400	0	0	raw	10000	496	494	4998
300	400	0	0	sig1	496	496	18	239
300	400	0	0	bsln	239	239	7	239
300	400	0	0	sig2	10000	496	494	4998
300	400	0	0	big2	496	496	18	239
300	400	0	0	s2or	239	239	7	239
350	400	0	0	raw	10000	504	494	4936
350	400	0	0	sig1	504	504	21	267
350	400	0	0	bsln	267	267	12	267
350	400	0	0	sig2	10000	504	494	4936
350	400	0	0	big2	504	504	21	267
350	400	0	0	s2or	267	267	12	267
400	400	0	0	raw	10000	494	494	5128
400	400	0	0	sig1	494	494	22	255
400	400	0	0	bsln	255	255	12	255
400	400	0	0	sig2	10000	494	494	5128
400	400	0	0	big2	494	494	22	255
400	400	0	0	s2or	255	255	12	255
450	400	0	0	raw	10000	489	494	5035
450	400	0	0	sig1	489	489	22	253
450	400	0	0	bsln	253	253	8	253
450	400	0	0	sig2	10000	489	494	5035
450	400	0	0	big2	489	489	22	253
450	400	0	0	s2or	253	253	8	253
500	400	0	0	raw	10000	511	494	5030
500	400	0	0	sig1	511	511	33	245
500	400	0	0	bsln	245	245	20	245
500	400	0	0	sig2	10000	511	494	5030
500	400	0	0	big2	511	511	33	245
500	400	0	0	s2or	245	245	20	245
20	450	0	0	raw	10000	491	489	4993
20	450	0	0	sig1	491	491	24	227
20	450	0	0	bsln	227	227	13	227
20	450	0	0	sig2	10000	491	489	4993
20	450	0	0	big2	491	491	24	227
20	450	0	0	s2or	227	227	13	227
50	450	0	0	raw	10000	498	489	4980
50	450	0	0	sig1	498	498	23	256
50	450	0	0	bsln	256	256	15	256
50	450	0	0	sig2	10000	498	489	4980
50	450	0	0	big2	498	498	23	256
50	450	0	0	s2or	256	256	15	256
100	450	0	0	raw	10000	501	489	4997
100	450	0	0	sig1	501	501	26	243
100	450	0	0	bsln	243	243	11	243
100	450	0	0	sig2	10000	501	489	4997
100	450	0	0	big2	501	501	26	243
100	450	0	0	s2or	243	243	11	243
150	450	0	0	raw	10000	506	489	4917
150	450	0	0	sig1	506	506	18	255
150	450	0	0	bsln	255	255	11	255
150	450	0	0	sig2	10000	506	489	4917
150	450	0	0	big2	506	506	18	255
150	450	0	0	s2or	255	255	11	255
200	450	0	0	raw	10000	517	489	5034
200	450	0	0	sig1	517	517	26	256
200	450	0	0	bsln	256	256	16	256
200	450	0	0	sig2	10000	517	489	5034
200	450	0	0	big2	517	517	26	256
200	450	0	0	s2or	256	256	16	256
250	450	0	0	raw	10000	489	489	4997
250	450	0	0	sig1	489	489	23	245
250	450	0	0	bsln	245	245	7	245
250	450	0	0	sig2	10000	489	489	4997
250	450	0	0	big2	489	489	23	245
250	450	0	0	s2or	245	245	7	245
300	450	0	0	raw	10000	496	489	5029
300	450	0	0	sig1	496	496	23	247
300	450	0	0	bsln	247	247	9	247
300	450	0	0	sig2	10000	496	489	5029
300	450	0	0	big2	496	496	23	247
300	450	0	0	s2or	247	247	9	247
350	450	0	0	raw	10000	504	489	5065
350	450	0	0	sig1	504	504	32	262
350	450	0	0	bsln	262	262	15	262
350	450	0	0	sig2	10000	504	489	5065
350	450	0	0	big2	504	504	32	262
350	450	0	0	s2or	262	262	15	262
400	450	0	0	raw	10000	494	489	5089
400	450	0	0	sig1	494	494	34	245
400	450	0	0	bsln	245	245	19	245
400	450	0	0	sig2	10000	494	489	5089
400	450	0	0	big2	494	494	34	245
400	450	0	0	s2or	245	245	19	245
450	450	0	0	raw	10000	489	489	4970
450	450	0	0	sig1	489	489	27	228
450	450	0	0	bsln	228	228	12	228
450	450	0	0	sig2	10000	489	489	4970
450	450	0	0	big2	489	489	27	228
450	450	0	0	s2or	228	228	12	228
500	450	0	0	raw	10000	511	489	5093
500	450	0	0	sig1	511	511	28	245
500	450	0	0	bsln	245	245	7	245
500	450	0	0	sig2	10000	511	489	5093
500	450	0	0	big2	511	511	28	245
500	450	0	0	s2or	245	245	7	245
20	500	0	0	raw	10000	491	511	5020
20	500	0	0	sig1	491	491	23	257
20	500	0	0	bsln	257	257	12	257
20	500	0	0	sig2	10000	491	511	5020
20	500	0	0	big2	491	491	23	257
20	500	0	0	s2or	257	257	12	257
50	500	0	0	raw	10000	498	511	5091
50	500	0	0	sig1	498	498	26	249
50	500	0	0	bsln	249	249	17	249
50	500	0	0	sig2	10000	498	511	5091
50	500	0	0	big2	498	498	26	249
50	500	0	0	s2or	249	249	17	249
100	500	0	0	raw	10000	501	511	5004
100	500	0	0	sig1	501	501	20	233
100	500	0	0	bsln	233	233	8	233
100	500	0	0	sig2	10000	501	511	5004
100	500	0	0	big2	501	501	20	233
100	500	0	0	s2or	233	233	8	233
150	500	0	0	raw	10000	506	511	5030
150	500	0	0	sig1	506	506	12	253
150	500	0	0	bsln	253	253	8	253
150	500	0	0	sig2	10000	506	511	5030
