n2	near	d1	prop.true	rwfpr	rwfnr
450	0.3	1	0.05	0.876287788696467	0
500	0.3	1	0.05	0.885636824396916	1.40352388199595e-05
50	0.1	0.1	0.1	0.849735390570926	0.0991054795431255
100	0.1	0.1	0.1	0.886693733068774	0.0992857133328287
150	0.1	0.1	0.1	0.865950027013334	0.0971445202458873
200	0.1	0.1	0.1	0.805457751689566	0.0913457724936518
250	0.1	0.1	0.1	0.731582097188839	0.0846267537198978
300	0.1	0.1	0.1	0.723927226253568	0.0807710771499665
350	0.1	0.1	0.1	0.7655927425157	0.0792101558063954
400	0.1	0.1	0.1	0.78652036505583	0.0760436802989459
450	0.1	0.1	0.1	0.767318688523186	0.0656857151384254
500	0.1	0.1	0.1	0.737512580114354	0.0492112720889225
50	0.1	0.2	0.1	0.345454316300469	0.0750776078412374
100	0.1	0.2	0.1	0.554456019508351	0.0693503625686034
150	0.1	0.2	0.1	0.604105231374284	0.063088635270018
200	0.1	0.2	0.1	0.571989617341285	0.0560780061685426
250	0.1	0.2	0.1	0.513645227301736	0.0477461944279255
300	0.1	0.2	0.1	0.522720223594955	0.0404333246762662
350	0.1	0.2	0.1	0.587927397013426	0.0340601702732134
400	0.1	0.2	0.1	0.643966546233653	0.0307482583556832
450	0.1	0.2	0.1	0.674094391494117	0.0310292497058904
500	0.1	0.2	0.1	0.700897238567688	0.0334282401403073
50	0.1	0.3	0.1	0.244232666962735	0.0575229307071277
100	0.1	0.3	0.1	0.431316875719966	0.045170860519549
150	0.1	0.3	0.1	0.484104706307569	0.0331930953906459
200	0.1	0.3	0.1	0.454918182468369	0.0223898048514429
250	0.1	0.3	0.1	0.412464489521083	0.0150686914005465
300	0.1	0.3	0.1	0.438425549137669	0.0103928391778075
350	0.1	0.3	0.1	0.519976951666172	0.00663110885080824
400	0.1	0.3	0.1	0.585392129231264	0.00378654518040557
450	0.1	0.3	0.1	0.615572526599195	0.00206384347847149
500	0.1	0.3	0.1	0.639025125196355	0.0010900192413242
50	0.1	0.4	0.1	0.198638030958593	0.0432985771766556
100	0.1	0.4	0.1	0.372739878688337	0.0272879730631356
150	0.1	0.4	0.1	0.430923620334762	0.0136393487202985
200	0.1	0.4	0.1	0.412573787526043	0.00457497090167657
250	0.1	0.4	0.1	0.380078146042515	0.000228089644921817
300	0.1	0.4	0.1	0.416147335230474	0
350	0.1	0.4	0.1	0.506311877022978	0
400	0.1	0.4	0.1	0.578232681036246	0
450	0.1	0.4	0.1	0.611904865902575	0
500	0.1	0.4	0.1	0.637437522329982	0.000146214478414115
50	0.1	0.5	0.1	0.164641731890819	0.027056898947178
100	0.1	0.5	0.1	0.345816928336396	0.0167312294714213
150	0.1	0.5	0.1	0.419635991012988	0.00873033586272089
200	0.1	0.5	0.1	0.411696483814599	0.00415952354159352
250	0.1	0.5	0.1	0.384429591833491	0.00239502317345673
300	0.1	0.5	0.1	0.420570979845948	0.00216912573794489
350	0.1	0.5	0.1	0.511532356932346	0.00258559584645843
400	0.1	0.5	0.1	0.584171018061788	0.00314929268584289
450	0.1	0.5	0.1	0.618371306616547	0.00361665022557102
500	0.1	0.5	0.1	0.644032513891389	0.00402491988180762
50	0.1	0.6	0.1	0.136904954801338	0.00710307019582967
100	0.1	0.6	0.1	0.318815244449996	0.00405718966547144
150	0.1	0.6	0.1	0.40447233065434	0.00161873052535312
200	0.1	0.6	0.1	0.403559912571067	0.000203085977144247
250	0.1	0.6	0.1	0.379626921869732	0
300	0.1	0.6	0.1	0.416147335230474	0
350	0.1	0.6	0.1	0.506311877022978	0
400	0.1	0.6	0.1	0.578232681036246	0
450	0.1	0.6	0.1	0.611904865902575	0
500	0.1	0.6	0.1	0.637313078957302	7.19605285443233e-05
50	0.1	0.7	0.1	0.136415227966955	0.00666895220336541
100	0.1	0.7	0.1	0.31810096410376	0.00368787432091956
150	0.1	0.7	0.1	0.403988293488118	0.0013811809886454
200	0.1	0.7	0.1	0.403346014830823	9.64909886347861e-05
250	0.1	0.7	0.1	0.379626921869732	0
300	0.1	0.7	0.1	0.416147335230474	0
350	0.1	0.7	0.1	0.506311877022978	0
400	0.1	0.7	0.1	0.578232681036246	0
450	0.1	0.7	0.1	0.611904865902575	0
500	0.1	0.7	0.1	0.637312452337715	7.15865304513096e-05
50	0.1	0.8	0.1	0.131821599407799	0.0024199600185827
100	0.1	0.8	0.1	0.313596190149376	0.00131341478880273
150	0.1	0.8	0.1	0.402152703734433	0.000474098975132875
200	0.1	0.8	0.1	0.403187868105605	1.75919111231879e-05
250	0.1	0.8	0.1	0.379626921869732	0
300	0.1	0.8	0.1	0.416147335230474	0
350	0.1	0.8	0.1	0.506311877022978	0
400	0.1	0.8	0.1	0.578232681036246	0
450	0.1	0.8	0.1	0.611904865902575	0
500	0.1	0.8	0.1	0.637237110076276	2.66110779795742e-05
50	0.1	0.9	0.1	0.130442833020811	0.00107873816257542
100	0.1	0.9	0.1	0.312202750876301	0.000562711690546691
150	0.1	0.9	0.1	0.401572992698953	0.000185558700302502
200	0.1	0.9	0.1	0.403152626870877	0
250	0.1	0.9	0.1	0.379626921869732	0
300	0.1	0.9	0.1	0.416147335230474	0
350	0.1	0.9	0.1	0.506311877022978	0
400	0.1	0.9	0.1	0.578232681036246	0
450	0.1	0.9	0.1	0.611904865902575	0
500	0.1	0.9	0.1	0.637213635030348	1.25946837191398e-05
50	0.1	1	0.1	0.129830922706579	0.000473184213798592
100	0.1	1	0.1	0.31162060379181	0.000246759692873276
150	0.1	1	0.1	0.401364125420643	8.13537534619512e-05
200	0.1	1	0.1	0.403152626870877	0
250	0.1	1	0.1	0.379626921869732	0
300	0.1	1	0.1	0.416147335230474	0
350	0.1	1	0.1	0.506311877022978	0
400	0.1	1	0.1	0.578232681036246	0
450	0.1	1	0.1	0.611904865902575	0
500	0.1	1	0.1	0.637201789237634	5.52130005108394e-06
50	0.3	0.1	0.1	0.781825481293791	0.0789940295866176
100	0.3	0.1	0.1	0.825452224364834	0.0795582853888199
150	0.3	0.1	0.1	0.841874292249614	0.0784629944628275
200	0.3	0.1	0.1	0.840636056101149	0.0737991505306649
250	0.3	0.1	0.1	0.831311799475288	0.0669966496683547
300	0.3	0.1	0.1	0.824529268362187	0.061148664446449
350	0.3	0.1	0.1	0.821238064748192	0.0560638896227222
400	0.3	0.1	0.1	0.821482251170609	0.0516817408879142
450	0.3	0.1	0.1	0.821734376419926	0.0459905710448252
500	0.3	0.1	0.1	0.823654134236706	0.0387133430020783
50	0.3	0.2	0.1	0.762331719726273	0.0747885885610391
100	0.3	0.2	0.1	0.796992611237879	0.0704564903587564
150	0.3	0.2	0.1	0.811955812638371	0.0657072095370841
200	0.3	0.2	0.1	0.813683991341276	0.0600577799024825
250	0.3	0.2	0.1	0.807061943972442	0.0533295296965901
300	0.3	0.2	0.1	0.803361557544104	0.0482389038382748
350	0.3	0.2	0.1	0.803890804125197	0.0445627402397006
400	0.3	0.2	0.1	0.810587249968818	0.0437725481190904
450	0.3	0.2	0.1	0.823002773365269	0.0470041170094483
500	0.3	0.2	0.1	0.839532221092096	0.0530897392712858
50	0.3	0.3	0.1	0.729551769218083	0.0671124153760029
100	0.3	0.3	0.1	0.76994636098369	0.0609961299468815
150	0.3	0.3	0.1	0.789442141092887	0.0552126986100623
200	0.3	0.3	0.1	0.794715714609529	0.0495603869250027
250	0.3	0.3	0.1	0.792723936099308	0.0446523845966163
300	0.3	0.3	0.1	0.792072350720948	0.0409172668638704
350	0.3	0.3	0.1	0.793427788830908	0.0372394788115289
400	0.3	0.3	0.1	0.797949385398981	0.0341529783802312
450	0.3	0.3	0.1	0.804714959642899	0.0318606740513164
