n1	n2	pval	dsig	dclose
5	285	0.04	0.164538320557062	1.0266962298159
5	285	0.05	0.164538320557062	0.945774596177742
5	290	0.01	0.163107693826874	1.53361690143959
5	290	0.02	0.163107693826874	1.2790773850578
5	290	0.03	0.163107693826874	1.13203802703659
5	290	0.04	0.163107693826874	1.02794971031882
5	290	0.05	0.163107693826874	0.947008190279997
5	295	0.01	0.161713747191134	1.5349034261545
5	295	0.02	0.161713747191134	1.28032354563048
5	295	0.03	0.161713747191134	1.1332618694809
5	295	0.04	0.161713747191134	1.02910911522607
5	295	0.05	0.161713747191134	0.948210626780542
5	300	0.01	0.160354939541328	1.53615802904284
5	300	0.02	0.160354939541328	1.28153867541612
5	300	0.03	0.160354939541328	1.13446653174402
5	300	0.04	0.160354939541328	1.0302978696995
5	300	0.05	0.160354939541328	0.94938319832066
5	305	0.01	0.159029818921967	1.53738199779862
5	305	0.02	0.159029818921967	1.2827240253971
5	305	0.03	0.159029818921967	1.13564562670401
5	305	0.04	0.159029818921967	1.03145623701677
5	305	0.05	0.159029818921967	0.950527123417696
5	310	0.01	0.157737016007192	1.53857655275387
5	310	0.02	0.157737016007192	1.28388078281992
5	310	0.03	0.157737016007192	1.13673304349517
5	310	0.04	0.157737016007192	1.03258546274241
5	310	0.05	0.157737016007192	0.951643551844116
5	315	0.01	0.156475238151451	1.53974285145409
5	315	0.02	0.156475238151451	1.28501007537025
5	315	0.03	0.156475238151451	1.1378520256698
5	315	0.04	0.156475238151451	1.03369588905296
5	315	0.05	0.156475238151451	0.952733569539158
5	320	0.01	0.155243263955487	1.54088199266287
5	320	0.02	0.155243263955487	1.28611297475976
5	320	0.03	0.155243263955487	1.13894268721656
5	320	0.04	0.155243263955487	1.03477199836922
5	320	0.05	0.155243263955487	0.953798203097688
5	325	0.01	0.154039938295687	1.54199501988306
5	325	0.02	0.154039938295687	1.28719049982695
5	325	0.03	0.154039938295687	1.14000615287386
5	325	0.04	0.154039938295687	1.03582359544198
5	325	0.05	0.154039938295687	0.95483842388217
5	330	0.01	0.152864167770832	1.54308292446478
5	330	0.02	0.152864167770832	1.28824587777785
5	330	0.03	0.152864167770832	1.14104352233524
5	330	0.04	0.152864167770832	1.03685156247392
5	330	0.05	0.152864167770832	0.955855151790041
5	335	0.01	0.151714916525428	1.54414795870083
5	335	0.02	0.151714916525428	1.28927478871519
5	335	0.03	0.151714916525428	1.14208516158333
5	335	0.04	0.151714916525428	1.03785673539911
5	335	0.05	0.151714916525428	0.956849258714389
5	340	0.01	0.150591202413366	1.54518795116728
5	340	0.02	0.150591202413366	1.29028128346127
